"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"$DIRV Learn from the best and follow those who are successful. https://t.co/ZnV0i6QNpT #Camera #security… https://t.co/odQ2Rninpg",FALSE,0,NA,2019-09-28 13:14:01,TRUE,NA,"1177934486941716486",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","DirectViewInc",0,FALSE,FALSE,NA,NA
"@realDonaldTrump #realDonaldTrump #WeVapeWeVote #1of13million #DontKillOffTheVapingIndustry",FALSE,0,"realDonaldTrump",2019-09-28 13:12:21,FALSE,"1177924521291997184","1177934068039737344","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","beckyvapes",0,FALSE,FALSE,NA,NA
"#Leftists like #HongKong protests (because protests) but also push #socialism for #USA. Thank God #POTUS… https://t.co/cyrZURCnoQ",FALSE,0,NA,2019-09-28 13:11:39,TRUE,NA,"1177933894043090944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FreakCountry76",0,FALSE,FALSE,NA,NA
"#realDonaldTrump is setting the pieces in place for an ultimate “Checkmate”. The leftist fools think they are winni… https://t.co/FuFjC0y8Go",FALSE,1,NA,2019-09-28 13:09:35,TRUE,NA,"1177933373655920642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rurustyc",0,FALSE,FALSE,NA,NA
"@DesignationSix Yes #realDonaldTrump is  #insane He's the crook who gets found stuck in the chimney while entering",FALSE,0,"DesignationSix",2019-09-28 13:08:44,FALSE,"1177664754019655680","1177933159419260928","969138694308421632","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pugsley_Denton",0,FALSE,FALSE,NA,NA
"RT @Bluepopcorn8: Former NSA Chief Of Staff Fred Fleitz Questions If Whistleblower Had Help From Congressional Democrats In Crafting Compla…",FALSE,0,NA,2019-09-28 13:05:02,FALSE,NA,"1177932226346000384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HSJECK1",41,TRUE,FALSE,NA,NA
"Thank God some of the government gets the truth!! #realDonaldTrump https://t.co/kCPtWCub0r",FALSE,0,NA,2019-09-28 13:04:04,FALSE,NA,"1177931983181275136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RogerWeatherho1",0,FALSE,FALSE,NA,NA
"These people are sick and stupid!

#MAGA #KAG #POTUS #realDonaldTrump  #Trump2020 https://t.co/TYSrR0KRIM",FALSE,0,NA,2019-09-28 13:03:58,FALSE,NA,"1177931956656508929",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mikedigi7",0,FALSE,FALSE,NA,NA
"@billmaher Now do Trumps kiddies and inlaws. #realDonaldTrump",FALSE,0,"billmaher",2019-09-28 13:01:16,FALSE,"1177362309338894336","1177931278940807169","19697415","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rleech2",0,FALSE,FALSE,NA,NA
"before you rag on Pelosi, honey, it's called a ""caucus""? But you are as ignorant as your melon-headed fake prez bos… https://t.co/RDTsTLOXaa",FALSE,0,NA,2019-09-28 13:00:34,TRUE,NA,"1177931101970546693",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BuckeyeFem",0,FALSE,FALSE,NA,NA
"RT @TammyLo06304602: I vape. I quit smoking with the aid of e cigs. I'm an adult. I use nicotine vape liquid, not illicit THC pods. Why are…",FALSE,0,NA,2019-09-28 12:58:58,FALSE,NA,"1177930700034412544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Raging_Vapor",39,TRUE,FALSE,NA,NA
"RT @KathyFortune9: We keep our cows happy and healthy.Triangle S Ranch cows! #FairCattleMarkets #realDonaldTrump #LabelOurBeef https://t.co…",FALSE,0,NA,2019-09-28 12:56:32,FALSE,NA,"1177930086147858432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bullmaker1",4,TRUE,FALSE,NA,NA
"RT @aheadsocially: Please Vote for me
https://t.co/eMRw8XwBtK #MaximMag #ad #wsj #nytimes #forbes #newyork #business #cnn #bet #foxnews #ca…",FALSE,0,NA,2019-09-28 12:50:20,FALSE,NA,"1177928528739758081",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aheadsocially",1,TRUE,FALSE,NA,NA
"Please Vote for me
https://t.co/eMRw8XwBtK #MaximMag #ad #wsj #nytimes #forbes #newyork #business #cnn #bet… https://t.co/GqLQ6KkhMQ",FALSE,1,NA,2019-09-28 12:50:01,TRUE,NA,"1177928449484365824",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","aheadsocially",1,FALSE,FALSE,NA,NA
"RT @TangWen2: <U+7F8E><U+5F0F><U+7206><U+6599><U+9769><U+547D><U+518D><U+6380><U+8D77><U+9AD8><U+6F6E>:<U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+516C><U+5E03><U+5965><U+5DF4><U+9A6C>2012<U+5E74><U+8FDE><U+4EFB><U+7ADE><U+9009><U+65F6><U+63A5><U+53D7><U+9A6C><U+6765><U+897F><U+4E9A><U+5546><U+4EBA><U+5218><U+7279><U+5DE6>Jho Low<U+7684><U+8D5E><U+52A9>2160<U+4E07>,<U+6B64><U+4EBA><U+76EE><U+524D><U+6B63><U+5728><U+88AB><U+7F8E><U+56FD><U+53F8><U+6CD5><U+90E8><U+901A><U+7F09><U+3010><U+574A><U+95F4><U+6D41><U+4F20>Jho Low<U+662F><U+4E2D><U+56FD><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+79C1><U+751F><U+5B50>,<U+76EE><U+524D><U+8EB2><U+5728><U+8B66><U+5BDF><U+5934><U+5B50><U+7684><U+5730><U+76D8><U+3011>https://t.co/Y6N…",FALSE,0,NA,2019-09-28 12:48:05,FALSE,NA,"1177927963335122945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DwWNKC0LYti3zVg",352,TRUE,FALSE,NA,NA
"@realDonaldTrump The call was perfectly corrupt and Dog Vomit Trump needs to be forced from office.

Also, don't fo… https://t.co/naryXA5jax",FALSE,0,"realDonaldTrump",2019-09-28 12:47:27,TRUE,"1177604833538392065","1177927801137180673","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dt_always_wrong",0,FALSE,FALSE,NA,NA
"DOUBLE STANDARD:  Obama Administration asked Ukraine to investigate Paul Manafort https://t.co/4hgsEtMJzc… https://t.co/qyXBcczJ49",FALSE,0,NA,2019-09-28 12:47:19,TRUE,NA,"1177927770254512128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RandallRoyal",0,FALSE,FALSE,NA,NA
"RT @No_Democrats: https://t.co/DLHV5jIUH3 The video Pelosi is hoping no liberals will watch. @realDonaldTrump @CSPANWJ #cnn #fox #Trump #Cr…",FALSE,0,NA,2019-09-28 12:45:05,FALSE,NA,"1177927207777423361",NA,"<a href=""http://stopmadness.com/"" rel=""nofollow"">StopMadness2</a>","ImmoralReport",1,TRUE,FALSE,NA,NA
"https://t.co/DLHV5jIUH3 The video Pelosi is hoping no liberals will watch. @realDonaldTrump @CSPANWJ #cnn #fox… https://t.co/8dysD5Z6LE",FALSE,1,NA,2019-09-28 12:41:17,TRUE,NA,"1177926251014754304",NA,"<a href=""http://sinproject.net/tweecha"" rel=""nofollow"">Tweecha Lite</a>","No_Democrats",1,FALSE,FALSE,NA,NA
"Watch ""BUILD THE WALL  https://t.co/TgEcEbO8jP Americans want the wall! @cspanwj  @realDonaldTrump #foxnews #News… https://t.co/GelpuVtdu3",FALSE,0,NA,2019-09-28 12:40:21,TRUE,NA,"1177926017031299074",NA,"<a href=""http://sinproject.net/tweecha"" rel=""nofollow"">Tweecha Lite</a>","No_Democrats",0,FALSE,FALSE,NA,NA
